<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
Overall Index,20090707,9456.10,9463.10,9456.10,9457.90,35183732
Overall Index,20090711,9461.80,9465.40,9438.40,9438.50,65364787
Overall Index,20090712,9436.80,9441.90,9415.80,9415.80,114059556
Overall Index,20090713,9415.80,9416.20,9349.00,9352.80,72358357
Overall Index,20090714,9354.20,9379.20,9354.20,9374.00,177804729
Overall Index,20090715,9375.40,9401.10,9375.40,9394.60,202567911
Overall Index,20090718,9403.40,9442.40,9403.40,9442.20,139355749
Overall Index,20090719,9443.70,9474.60,9443.60,9474.50,39350571
Overall Index,20090721,9478.70,9511.10,9475.10,9511.10,28961704
Overall Index,20090722,9519.20,9525.40,9519.20,9522.20,27516369
Overall Index,20090725,9521.70,9524.20,9521.10,9522.90,32346070
Overall Index,20090726,9523.50,9563.40,9523.00,9530.30,122922718
Overall Index,20090727,9529.80,9703.70,9520.50,9703.70,115285756
Overall Index,20090728,9723.00,9731.60,9722.40,9727.10,138017171
Overall Index,20090729,9733.30,9767.80,9733.30,9765.60,332737281
Overall Index,20090801,9777.60,9812.00,9777.60,9811.20,94924309
Overall Index,20090802,9819.30,9831.40,9819.30,9831.20,86135765
Overall Index,20090803,9835.70,9838.90,9834.00,9835.00,97627341
Overall Index,20090804,9834.70,9864.70,9833.80,9861.10,172813144
Overall Index,20090805,9863.80,9905.00,9863.80,9904.40,108321647
Overall Index,20090808,9910.40,9999.00,9910.40,9999.00,76802541
Overall Index,20090809,10002.10,10044.00,10002.10,10044.00,80305952
Overall Index,20090810,10048.30,10117.60,10048.30,10114.20,239373686
Overall Index,20090811,10130.70,10141.60,10127.60,10139.40,113829065
Overall Index,20090812,10145.50,10194.20,10145.50,10194.00,137382159
Overall Index,20090815,10208.70,10251.20,10208.70,10250.80,53454012
Overall Index,20090816,10294.20,10333.50,10294.20,10333.20,210564541
Overall Index,20090817,10337.10,10405.40,10337.10,10405.40,143724492
Overall Index,20090818,10426.30,10449.10,10426.30,10442.50,148140002
Overall Index,20090819,10462.70,10476.30,10462.70,10472.40,87213292
Overall Index,20090822,10488.90,10555.40,10488.90,10555.40,63635334
Overall Index,20090823,10562.50,10612.20,10562.50,10612.20,99642607
Overall Index,20090824,10626.10,10686.10,10626.10,10686.10,115415531
Overall Index,20090825,10699.60,10983.90,10699.60,10983.60,319262052
Overall Index,20090826,11013.30,11730.00,11013.30,11576.90,256256081
Overall Index,20090829,11624.90,11738.10,11598.10,11734.40,343162726
Overall Index,20090830,11741.00,11747.70,11691.80,11693.50,143905612
Overall Index,20090831,11693.10,11694.20,11663.40,11688.30,267124976
Overall Index,20090901,11695.80,11741.00,11695.80,11741.00,116253824
Overall Index,20090902,11756.90,11762.10,11746.40,11747.20,115841451
Overall Index,20090905,11750.80,11750.90,11652.90,11678.50,134673546
Overall Index,20090906,11673.90,11673.90,11634.30,11634.50,95644468
Overall Index,20090907,11615.90,11615.90,11573.70,11589.70,55905816
Overall Index,20090908,11601.60,11639.00,11598.40,11639.00,78097448
Overall Index,20090909,11643.00,11701.70,11643.00,11696.50,84503364
Overall Index,20090913,11657.10,11657.10,11638.40,11638.40,58475997
Overall Index,20090914,11582.00,11604.80,11580.90,11598.70,151227850
Overall Index,20090915,11593.90,11593.90,11523.60,11523.60,63513935
Overall Index,20090916,11468.10,11468.70,11460.60,11461.10,58939201
Overall Index,20090919,11461.10,11461.10,11412.50,11437.00,104230275
Overall Index,20090921,11437.00,11452.80,11436.60,11451.80,111222842
Overall Index,20090922,11402.80,11479.80,11402.80,11479.80,228032424
Overall Index,20090923,11491.30,11583.00,11491.30,11583.00,92689350
Overall Index,20090926,11625.30,11633.40,11620.40,11620.40,203580538
Overall Index,20090927,11676.60,11676.60,11588.20,11588.20,168217494
Overall Index,20090928,11586.70,11586.70,11559.10,11559.10,95153987
Overall Index,20090929,11573.40,11599.30,11553.40,11555.00,97085462
Overall Index,20090930,11558.70,11567.20,11531.40,11535.80,100599468
Overall Index,20091003,11574.50,11657.30,11574.50,11657.30,123364127
